Loanref,first_default_month,speed_label
F23Q10025763,17,0
F23Q30121363,15,0
F22Q30256457,16,0
F22Q10040026,15,0
F23Q20259844,18,0
F23Q20068931,15,0
F22Q20289911,9,1
F23Q20182632,19,0
F22Q30257927,10,1
F22Q30190206,23,0
F23Q20207716,20,0
F22Q30042938,19,0
F22Q30099160,6,1
F23Q30099596,12,1
F22Q20015967,18,0
F22Q40219595,24,0
F22Q30211692,14,0
F22Q10443034,24,0
F23Q10181445,18,0
F22Q20378157,22,0
F23Q30137748,12,1
F22Q30264495,20,0
F22Q10480010,13,0
F22Q10098214,13,0
F22Q30028292,7,1
F22Q20056358,23,0
F22Q40196211,21,0
F22Q20066971,23,0
F23Q20004401,15,0
F23Q20076805,19,0
F23Q30018420,23,0
F22Q20289026,13,0
F22Q40155771,22,0
F23Q20177283,7,1
F23Q10048492,11,1
F22Q30254149,22,0
F23Q30062132,15,0
F22Q20285587,22,0
F22Q10172911,8,1
F22Q10190529,16,0
F22Q40008182,13,0
F22Q20050610,18,0
F22Q20285813,20,0
F22Q10534569,20,0
F22Q40193556,7,1
F23Q20178363,6,1
F22Q40214120,22,0
F22Q10108295,11,1
F22Q30207832,23,0
F23Q20022152,19,0
F22Q40157672,16,0
F22Q20386613,13,0
F22Q30264790,13,0
F22Q30085208,5,1
F22Q10543023,21,0
F22Q20086448,18,0
F22Q10230236,12,1
F22Q30300119,20,0
F22Q30213298,8,1
F22Q30300369,4,1
F22Q40049088,21,0
F23Q20082474,16,0
F22Q20274778,6,1
F23Q30154776,14,0
F22Q30234898,24,0
F23Q20038211,18,0
F22Q30303028,22,0
F22Q10345354,18,0
F23Q20256892,19,0
F23Q10036942,7,1
F23Q10178581,15,0
F22Q40140516,22,0
F22Q40144440,19,0
F22Q20098232,12,1
F22Q10140150,3,1
F22Q10344909,9,1
F22Q10052561,16,0
F22Q30201392,14,0
F22Q20039527,16,0
F22Q40070033,23,0
F22Q10447939,9,1
F22Q10181122,4,1
F23Q30217132,22,0
F23Q10026726,22,0
F22Q10496969,6,1
F22Q10139193,15,0
F23Q30147374,16,0
F23Q30222828,15,0
F22Q10136341,20,0
F23Q20231116,18,0
F22Q20023562,23,0
F22Q20339478,4,1
F22Q30029907,14,0
F22Q30274065,24,0
F22Q20427911,3,1
F22Q20260835,4,1
F23Q10035647,21,0
F22Q30070185,5,1
F22Q20227395,7,1
F23Q10134511,13,0
F23Q20159312,24,0
F23Q10001549,17,0
F22Q10436323,10,1
F23Q30249054,12,1
F22Q30200038,8,1
F23Q30094455,11,1
F22Q10202158,11,1
F23Q30150252,10,1
F22Q20340973,17,0
F22Q40005372,21,0
F22Q40202727,11,1
F22Q10381230,6,1
F22Q30247439,17,0
F23Q20193107,24,0
F22Q10558247,19,0
F22Q20124632,5,1
F23Q10170542,8,1
F23Q20069591,16,0
F23Q10115865,19,0
F23Q30008023,19,0
F22Q20016161,17,0
F23Q20076688,8,1
F22Q20134834,11,1
F22Q20225480,16,0
F22Q20078671,7,1
F22Q20273168,7,1
F22Q10188771,19,0
F22Q20273130,10,1
F22Q10548139,14,0
F23Q20011009,6,1
F23Q30126784,12,1
F23Q20083432,18,0
F23Q30101166,18,0
F22Q30080017,16,0
F22Q10372981,16,0
F22Q20199603,8,1
F23Q10122399,19,0
F23Q20048615,19,0
F23Q30249941,21,0
F22Q10145473,21,0
F23Q30011074,20,0
F22Q10241689,24,0
F22Q10445905,8,1
F22Q40064133,6,1
F22Q20114575,15,0
F22Q30040349,6,1
F22Q30244170,20,0
F23Q30020308,17,0
F22Q20241290,18,0
F22Q10228210,21,0
F22Q30217186,21,0
F22Q20409837,20,0
F23Q20115343,5,1
F22Q20007816,8,1
F23Q20012738,21,0
F23Q30001314,11,1
F23Q20106347,18,0
F22Q20375561,12,1
F22Q10565543,9,1
F22Q30048030,6,1
F23Q30222122,16,0
F22Q40102684,23,0
F22Q40082141,22,0
F22Q30309988,14,0
F22Q10170475,17,0
F22Q20232114,24,0
F22Q20067524,5,1
F23Q30125983,15,0
F22Q10069026,6,1
F22Q10405841,22,0
F23Q30048324,20,0
F22Q30320400,11,1
F22Q10176415,18,0
F22Q10258165,15,0
F22Q20317227,23,0
F22Q20151902,22,0
F22Q30033362,6,1
F23Q10022606,9,1
F22Q10530967,5,1
F23Q30239862,16,0
F22Q20375809,8,1
F23Q30059378,4,1
F22Q10575525,7,1
F22Q30337040,14,0
F22Q20259281,16,0
F22Q40065322,21,0
F22Q30225373,22,0
F22Q40039782,16,0
F22Q20296301,6,1
F23Q30115620,14,0
F23Q30047413,4,1
F22Q30061267,8,1
F22Q30046109,6,1
F22Q40135451,19,0
F22Q10448239,6,1
F22Q40197472,9,1
F23Q10135305,21,0
F23Q30193328,21,0
F23Q20105328,13,0
F23Q10095542,3,1
F23Q30102281,12,1
F22Q20337750,5,1
F23Q30177683,24,0
F22Q40129296,8,1
F22Q30104919,22,0
F22Q40095295,13,0
F22Q20154808,13,0
F22Q20143959,18,0
F22Q20106988,13,0
F23Q30145903,18,0
F22Q20344501,11,1
F23Q10059329,22,0
F22Q20192047,5,1
F22Q20396798,6,1
F23Q10032268,9,1
F23Q30045711,20,0
F22Q20343023,7,1
F23Q20151021,14,0
F23Q10094130,7,1
F22Q40009039,7,1
F23Q10147789,17,0
F23Q10139927,11,1
F22Q20366911,22,0
F23Q10134515,7,1
F22Q10277832,21,0
F22Q10209189,17,0
F22Q10182356,6,1
F22Q40109031,3,1
F22Q10132553,12,1
F22Q20241348,7,1
F22Q10063804,11,1
F22Q20181193,18,0
F22Q20077104,24,0
F22Q10021038,19,0
F23Q20042725,5,1
F23Q20119787,15,0
F23Q20183260,6,1
F23Q20216908,11,1
F22Q40075239,15,0
F22Q10247290,10,1
F23Q10029384,19,0
F23Q20088241,23,0
F22Q10137540,22,0
F22Q10246744,13,0
F22Q10182318,21,0
F23Q10037322,9,1
F22Q20283735,18,0
F22Q20184573,9,1
F22Q10215924,11,1
F23Q30115962,9,1
F23Q20262162,15,0
F22Q30281951,15,0
F22Q10311904,23,0
F22Q10151284,21,0
F22Q30021378,19,0
F23Q20007342,23,0
F23Q10058946,18,0
F23Q20143245,21,0
F22Q10244661,20,0
F22Q20328803,6,1
F23Q30203616,13,0
F22Q10293519,7,1
F22Q40099049,20,0
F23Q30023493,4,1
F22Q10480255,11,1
F22Q10153284,17,0
F22Q10218570,10,1
F22Q20031440,13,0
F22Q40104576,22,0
F22Q10098177,5,1
F22Q40173430,12,1
F22Q40051246,14,0
F22Q20259057,22,0
F22Q40052380,5,1
F22Q40032447,6,1
F22Q20090529,15,0
F23Q10169631,21,0
F23Q30255591,11,1
F23Q30052060,16,0
F22Q20311885,22,0
F23Q20140487,23,0
F23Q30247178,16,0
F22Q20087650,13,0
F22Q30103175,21,0
F22Q30046614,6,1
F23Q20183533,3,1
F22Q10508471,13,0
F22Q30194720,19,0
F23Q10160711,4,1
F22Q20264256,3,1
F22Q30099234,20,0
F22Q40210148,24,0
F22Q20267579,8,1
F22Q20425967,4,1
F22Q30039065,22,0
F23Q30053439,14,0
F22Q10413697,23,0
F22Q30299893,15,0
F22Q10473520,13,0
F22Q30199901,16,0
F23Q10101238,17,0
F23Q30262400,11,1
F23Q10069157,4,1
F22Q20370683,8,1
F22Q20116677,5,1
F22Q20208016,21,0
F22Q40130948,19,0
F23Q20093063,14,0
F23Q30174574,12,1
F22Q40086617,20,0
F23Q20108340,13,0
F22Q20334633,17,0
F23Q10045422,10,1
F23Q30052725,17,0
F23Q20126074,21,0
F23Q10093175,8,1
F22Q10095734,19,0
F22Q10519719,23,0
F22Q40139145,8,1
F23Q10108153,13,0
F22Q20273915,18,0
F23Q10058475,24,0
F23Q10069756,21,0
F23Q30124251,20,0
F22Q20294800,8,1
F22Q30208020,15,0
F22Q40171241,18,0
F23Q30213187,13,0
F22Q20359573,3,1
F23Q20190625,16,0
F22Q40218294,4,1
F23Q30110764,19,0
F22Q20014979,9,1
F22Q40201057,9,1
F23Q20027036,23,0
F23Q30086876,22,0
F22Q40179052,19,0
F22Q30293695,22,0
F23Q20220158,3,1
F22Q20403261,15,0
F22Q20295254,6,1
F23Q30258352,15,0
F22Q20358772,4,1
F23Q30188717,23,0
F22Q10427508,13,0
F22Q10257373,12,1
F22Q10488934,19,0
F22Q40188881,17,0
F22Q30114849,17,0
F23Q30074269,19,0
F22Q30063480,8,1
F22Q10497479,10,1
F22Q40192636,24,0
F22Q40079937,24,0
F22Q20133580,20,0
F22Q20317977,6,1
F22Q30015413,17,0
F22Q40158710,12,1
F23Q10079974,4,1
F22Q10502402,9,1
F22Q10553842,7,1
F22Q20166334,13,0
F23Q30232128,20,0
F22Q40140231,15,0
F23Q10134509,5,1
F22Q30292196,22,0
F22Q10061907,18,0
F22Q10307706,12,1
F22Q10158976,20,0
F23Q20189257,9,1
F23Q30078458,19,0
F22Q20149005,24,0
F22Q30010583,11,1
F22Q10080559,7,1
F22Q30043364,3,1
F22Q10016586,13,0
F23Q20066556,9,1
F23Q10186178,22,0
F22Q40200502,23,0
F22Q40016991,14,0
F23Q20162835,12,1
F23Q30154135,13,0
F22Q20307588,12,1
F22Q20271474,5,1
F22Q20192729,9,1
F22Q30005006,21,0
F22Q40051736,19,0
F23Q30207340,8,1
F22Q20079253,10,1
F22Q10477531,8,1
F22Q10551703,23,0
F23Q30088928,15,0
F22Q10362885,22,0
F22Q30273002,14,0
F23Q30071402,15,0
F23Q20007083,14,0
F22Q20063437,9,1
F22Q20289097,6,1
F22Q10198329,3,1
F22Q20024091,19,0
F23Q30140414,23,0
F22Q30189245,17,0
F23Q30095046,21,0
F22Q10392728,23,0
F23Q30112342,16,0
F22Q10122583,9,1
F22Q10461457,6,1
F22Q10577935,4,1
F23Q20180375,18,0
F23Q30111708,24,0
F22Q30181348,22,0
F22Q10024187,19,0
F22Q30033077,11,1
F23Q20188755,23,0
F23Q30163578,19,0
F22Q30257257,12,1
F23Q20000187,17,0
F22Q40140300,8,1
F22Q20199057,22,0
F23Q30214122,13,0
F23Q30214159,8,1
F22Q30266474,16,0
F23Q10162390,20,0
F22Q10158778,7,1
F22Q40174947,16,0
F22Q40154039,11,1
F23Q20214571,21,0
F22Q30139870,15,0
F23Q20269894,18,0
F22Q40139848,14,0
F22Q20077700,23,0
F23Q20264664,13,0
F22Q30054599,17,0
F23Q10022227,11,1
F23Q10027374,18,0
F22Q20058186,24,0
F22Q10368953,9,1
F22Q30157040,20,0
F22Q20140449,17,0
F22Q20200097,15,0
F22Q30033306,5,1
F22Q30100489,12,1
F22Q20253163,21,0
F22Q10280728,5,1
F23Q30036505,15,0
F22Q30310287,6,1
F23Q30211246,18,0
F22Q10200830,17,0
F22Q40055735,11,1
F23Q10039236,8,1
F22Q10455409,10,1
F22Q20232140,9,1
F22Q30060159,9,1
F22Q10117291,14,0
F23Q10151124,10,1
F23Q10029480,10,1
F22Q40027354,12,1
F23Q30176036,14,0
F22Q10204875,14,0
F22Q30335849,6,1
F22Q20037373,14,0
F22Q10143522,23,0
F22Q30125461,6,1
F22Q10150292,11,1
F23Q30210732,3,1
F23Q20166730,24,0
F22Q30054421,21,0
F23Q30228305,4,1
F22Q20194150,24,0
F22Q30175467,23,0
F22Q30159404,24,0
F22Q30241628,24,0
F23Q20010495,10,1
F22Q20387027,23,0
F23Q20099389,10,1
F22Q30273274,6,1
F22Q40042400,19,0
F22Q20158735,9,1
F22Q40142999,8,1
F23Q10182066,10,1
F22Q10332995,22,0
F23Q20143675,23,0
F22Q10230700,13,0
F22Q10556103,6,1
F23Q10002195,14,0
F23Q10087529,22,0
F23Q30215247,8,1
F22Q40105937,15,0
F22Q30112024,23,0
F22Q20391615,7,1
F22Q30017805,4,1
F22Q20107391,11,1
F22Q10057608,16,0
F23Q10180948,18,0
F23Q20242808,18,0
F22Q40056130,24,0
F22Q20251817,4,1
F22Q30149619,16,0
F22Q10032289,3,1
F22Q10378059,19,0
F22Q30285004,11,1
F22Q40183928,23,0
F23Q20259865,14,0
F22Q30054075,24,0
F22Q40156269,4,1
F22Q30217409,4,1
F23Q20208359,23,0
F23Q10131546,7,1
F23Q10067155,10,1
F23Q10044488,23,0
F22Q20396355,13,0
F22Q30316068,6,1
F22Q10258620,3,1
F22Q40013745,7,1
F22Q30050420,14,0
F22Q30173723,12,1
F22Q30220811,9,1
F22Q30296073,23,0
F22Q40130519,22,0
F23Q20072028,20,0
F22Q30334112,13,0
F23Q20232077,6,1
F22Q40169394,13,0
