_state,n_loans,n_defaults,default_rate,default_logodds
AK,1476,43,0.029133,-3.484033
AL,13950,391,0.028029,-3.543618
AR,7438,200,0.026889,-3.583933
AZ,32565,1255,0.038538,-3.216037
CA,80104,2756,0.034405,-3.334185
CO,21358,703,0.032915,-3.378983
CT,11645,354,0.030399,-3.459732
DC,1509,74,0.049039,-2.952129
DE,4105,122,0.02972,-3.477857
FL,90944,4075,0.044808,-3.059297
GA,39793,1533,0.038524,-3.216552
GU,93,0,0.0,-4.543295
HI,2132,88,0.041276,-3.134517
IA,8338,277,0.033221,-3.367296
ID,7560,242,0.032011,-3.405168
IL,40359,1320,0.032706,-3.386198
IN,27968,895,0.032001,-3.408389
KS,8254,245,0.029683,-3.483115
KY,13222,360,0.027227,-3.573232
LA,11032,362,0.032814,-3.380882
MA,16532,485,0.029337,-3.497131
MD,20260,674,0.033268,-3.367909
ME,4004,120,0.02997,-3.469088
MI,38284,1424,0.037196,-3.252982
MN,19796,639,0.032279,-3.399007
MO,20963,626,0.029862,-3.4793
MS,4984,188,0.037721,-3.233999
MT,3271,100,0.030572,-3.446997
NC,33753,960,0.028442,-3.530026
ND,1479,25,0.016903,-4.024665
NE,5342,153,0.028641,-3.517536
NH,4935,111,0.022492,-3.763067
NJ,27284,868,0.031814,-3.41442
NM,5089,106,0.020829,-3.841159
NV,12343,451,0.036539,-3.270023
NY,35068,1089,0.031054,-3.439594
OH,43258,1230,0.028434,-3.530533
OK,10583,297,0.028064,-3.541543
OR,13592,421,0.030974,-3.440843
PA,36863,1153,0.031278,-3.432225
PR,223,5,0.022422,-3.597312
RI,2969,103,0.034692,-3.316631
SC,18983,557,0.029342,-3.497213
SD,2010,62,0.030846,-3.431937
TN,24696,733,0.029681,-3.485799
TX,101547,3751,0.036939,-3.260605
UT,14000,547,0.039071,-3.200756
VA,24664,672,0.027246,-3.573772
VI,77,3,0.038961,-2.931194
VT,1630,39,0.023926,-3.683867
WA,22867,656,0.028688,-3.520704
WI,14440,396,0.027424,-3.566085
WV,3438,95,0.027632,-3.550575
WY,1479,43,0.029074,-3.486123
